Year ,Precip,Max,Min 
2007,0.93,69,30 
2006,2.94,69,38 
2005,3.47,63,32 
2004,1.61,71,42 
2003,0.65,68,40 
2002,0.75,63,33 
2001,2.87,65,33 
2000,3.57,69,37 
1999,3.25,64,33 
1998,4.81,68,39 
1997,6.8,66,28 
1996,3.03,71,37 
1995,8.66,67,37 
1994,1.33,69,35 
1993,6.98,66,29 
1992,1.73,63,33 
1991,0.18,71,30 
1990,1.93,68,33 
1989,1.06,68,31 
1988,2.08,76,31 
1987,1.6,68,32 
1986,2.41,70,37 
1985,0.74,61,29 
1984,0.17,69,33 
1983,7.41,65,30 
1982,4.46,65,30 
1981,3.71,71,35 
1980,2.62,67,31 
1979,3.67,62,29 
1978,7.07,66,35 
1977,0.76,63,31 
1976,0.32,69,28 
1975,0.84,69,27 
1974,2.51,69,30 
1973,5.12,64,27 
1972,1.21,65,38 
1971,0.91,66,31 
1970,4.02,67,28 
1969,5.56,65,29 
1968,5.37,68,28
